,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Canada","Data source","Other alcoholic beverages","0.40","0.30","0.30","0.30","0.30","0.30","0.20","0.20","0.20","0.20"
"Canada","Data source","Beer","3.50","3.60","3.60","3.70","3.70","3.80","3.90","4.00","4.00","4.20"
"Canada","Data source","Spirits","2.10","2.10","2.10","2.10","2.00","2.00","2.10","2.10","2.10","2.10"
"Central African Republic","Data source","All types","0.94","0.94","0.90","0.90","0.90","1.88","1.70","1.96","1.97","1.96"
"Central African Republic","Data source","Wine","0.04","0.04","0.02","0.02","0.02","0.01","0.01","0.02","0.02","0.02"
"Central African Republic","Data source","Other alcoholic beverages","0.33","0.33","0.33","0.33","0.33","1.43","1.43","1.59","1.57","1.59"
"Central African Republic","Data source","Beer","0.55","0.55","0.53","0.54","0.53","0.42","0.26","0.35","0.35","0.31"
"Central African Republic","Data source","Spirits","0.02","0.02","0.02","0.01","0.02","0.01","0.00","0.00","0.03","0.04"
"Chad","Data source","Beer","0.37","0.37","0.39","0.46","0.48","0.47","0.41","0.37","0.37","0.32"
"Chad","Data source","Spirits","0.01","0.01","0.01","0.01","0.01","0.03","0.04","0.04","0.04","0.03"
"Chad","Data source","All types","0.55","0.55","0.58","0.64","0.66","0.68","0.65","0.63","0.60","0.55"
"Chad","Data source","Other alcoholic beverages","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.18","0.14","0.15"
"Chad","Data source","Wine","0.01","0.01","0.01","0.01","0.01","0.02","0.04","0.04","0.05","0.05"
"Chile","Data source","All types","7.80","7.80","7.77","7.73","7.89","7.92","7.23","8.35","7.02","7.55"
"Chile","Data source","Beer","2.76","2.76","2.73","2.69","2.85","","","","",""
"Chile","Data source","Wine","2.61","2.61","2.61","2.61","2.61","2.85","2.37","2.65","2.51","3.10"
"Chile","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Chile","Data source","Beer","","","","","","2.79","2.67","2.55","2.51","2.35"
